id,date,name,abrv,primaryColor,logo,current_playoffs,current_round2,current_conf,current_final,current_win
18,2024-10-20,New York Islanders,NYI,#00539b,/Images/islanders.png,60.5%,27.2%,12.4%,5.6%,2.5%
19,2024-10-20,New York Rangers,NYR,#0038A8,/Images/rangers.png,88.5%,47.1%,24.8%,12.7%,6.3%
20,2024-10-20,Ottawa Senators,OTT,#DA1A32,/Images/senators.png,56.7%,26.9%,12.5%,5.8%,2.6%
21,2024-10-20,Philadelphia Flyers,PHI,#F74902,/Images/flyers.png,13.4%,4.4%,1.5%,0.5%,0.2%
22,2024-10-20,Pittsburgh Penguins,PIT,#FCB514,/Images/penguins.png,11.2%,3.4%,1.1%,0.3%,0.1%
23,2024-10-20,San Jose Sharks,SJS,#006D75,/Images/sharks.png,0.7%,0.1%,0.02%,0.0%,0.0%
24,2024-10-20,Seattle Kraken,SEA,#68a2b9,/Images/kraken.png,36.5%,12.9%,4.7%,1.7%,0.6%
25,2024-10-20,St. Louis Blues,STL,#002F87,/Images/blues.png,25.6%,8.3%,2.7%,0.9%,0.3%
26,2024-10-20,Tampa Bay Lightning,TBL,#002868,/Images/lightning.png,69.0%,34.8%,16.9%,8.2%,4.0%
27,2024-10-20,Toronto Maple Leafs,TOR,#00205b,/Images/leafs.png,77.1%,38.1%,18.0%,8.5%,3.9%
28,2024-10-20,Utah Hockey Club,UTA,#5c88da,/Images/utah.png,45.2%,17.4%,6.7%,2.6%,1.0%
29,2024-10-20,Vancouver Canucks,VAN,#00205B,/Images/canucks.png,92.0%,56.2%,32.6%,18.6%,10.4%
30,2024-10-20,Vegas Golden Knights,VGK,#B4975A,/Images/golden knights.png,40.9%,15.6%,6.3%,2.4%,0.9%
31,2024-10-20,Washington Capitals,WSH,#041E42,/Images/capitals.png,74.9%,34.5%,16.1%,7.2%,3.3%
32,2024-10-20,Winnipeg Jets,WPG,#004C97,/Images/jets.png,84.3%,45.3%,22.8%,11.6%,5.9%
1,2024-10-27,Anaheim Ducks,ANA,#00685e,/Images/ducks.png,1.0%,0.2%,0.04%,0.01%,0.0%
2,2024-10-27,Boston Bruins,BOS,#FFB81C,/Images/bruins.png,52.3%,24.6%,11.3%,5.1%,2.2%
3,2024-10-27,Buffalo Sabres,BUF,#003087,/Images/sabres.png,23.4%,8.2%,2.9%,1.0%,0.3%
4,2024-10-27,Calgary Flames,CGY,#D2001C,/Images/flames.png,46.2%,16.8%,6.5%,2.4%,0.9%
5,2024-10-27,Carolina Hurricanes,CAR,#CE1126,/Images/canes.png,94.0%,57.1%,33.6%,19.7%,11.1%
6,2024-10-27,Chicago Blackhawks,CHI,#CF0A2C,/Images/blackhawks.png,4.8%,1.3%,0.4%,0.1%,0.03%
7,2024-10-27,Colorado Avalanche,COL,#6F263D,/Images/avalanche.png,56.2%,26.2%,12.3%,5.7%,2.6%
8,2024-10-27,Columbus Blue Jackets,CBJ,#002654,/Images/blue jackets.png,1.7%,0.3%,0.1%,0.01%,0.0%
9,2024-10-27,Dallas Stars,DAL,#006847,/Images/stars.png,88.3%,45.8%,22.8%,11.1%,5.5%
10,2024-10-27,Detroit Red Wings,DET,#ce1126,/Images/red wings.png,17.5%,6.3%,2.3%,0.8%,0.3%
11,2024-10-27,Edmonton Oilers,EDM,#FF4C00,/Images/oilers.png,79.1%,42.6%,22.8%,11.8%,6.2%
12,2024-10-27,Florida Panthers,FLA,#c8102E,/Images/panthers.png,90.1%,53.2%,29.3%,16.4%,8.8%
13,2024-10-27,Los Angeles Kings,LAK,#A2AAAD,/Images/kings.png,87.7%,49.5%,27.1%,14.3%,7.6%
